Using dt = 10 seconds, T = 1.0 years
Creating GenerateEMRIWaveform class...
Done initializing waveform generator.
Done initializing loglike class.
SNR: 14.0812757390131
Loading paris2 sampler...
stage 2 maxld: 590.4128
stage 2 maxld point: [6.00674608 1.00371385 0.71361789 8.92244966 0.39710989]
stage 2 posterior 1-sigma (diag): [0.00875634 0.0047461  0.01857287 0.10587555 0.00355281]
Ellipse prior (3σ) bounds:
  logm1: [5.98048, 6.03302]  (mu=6.00675)
  logm2: [0.98948, 1.01795]  (mu=1.00371)
  a: [0.65790, 0.76934]  (mu=0.71362)
  p0: [8.60482, 9.24008]  (mu=8.92245)
  e0: [0.38645, 0.40777]  (mu=0.39711)
Generating 500000 LHS points in Cholesky space...
LHS points inside ellipse: 82273 / 500000 (16.5%)
Evaluating log_density on 82273 points...
  [39500/82273]  elapsed=19438s  rate=2.0/s  ETA=21049s
  [40000/82273]  elapsed=19684s  rate=2.0/s  ETA=20803s
  [40500/82273]  elapsed=19930s  rate=2.0/s  ETA=20557s
  [41000/82273]  elapsed=20176s  rate=2.0/s  ETA=20310s
  [41500/82273]  elapsed=20422s  rate=2.0/s  ETA=20064s
  [42000/82273]  elapsed=20668s  rate=2.0/s  ETA=19818s
  [42500/82273]  elapsed=20914s  rate=2.0/s  ETA=19572s
  [43000/82273]  elapsed=21160s  rate=2.0/s  ETA=19326s
  [43500/82273]  elapsed=21406s  rate=2.0/s  ETA=19080s
  [44000/82273]  elapsed=21652s  rate=2.0/s  ETA=18834s
  [44500/82273]  elapsed=21898s  rate=2.0/s  ETA=18588s
  [45000/82273]  elapsed=22144s  rate=2.0/s  ETA=18342s
  [45500/82273]  elapsed=22390s  rate=2.0/s  ETA=18096s
  [46000/82273]  elapsed=22636s  rate=2.0/s  ETA=17850s
  [46500/82273]  elapsed=22882s  rate=2.0/s  ETA=17603s
  [47000/82273]  elapsed=23128s  rate=2.0/s  ETA=17357s
  [47500/82273]  elapsed=23374s  rate=2.0/s  ETA=17111s
  [48000/82273]  elapsed=23620s  rate=2.0/s  ETA=16865s
  [48500/82273]  elapsed=23866s  rate=2.0/s  ETA=16619s
  [49000/82273]  elapsed=24112s  rate=2.0/s  ETA=16373s
  [49500/82273]  elapsed=24357s  rate=2.0/s  ETA=16127s
  [50000/82273]  elapsed=24603s  rate=2.0/s  ETA=15880s
  [50500/82273]  elapsed=24849s  rate=2.0/s  ETA=15634s
  [51000/82273]  elapsed=25096s  rate=2.0/s  ETA=15389s
  [51500/82273]  elapsed=25342s  rate=2.0/s  ETA=15142s
  [52000/82273]  elapsed=25587s  rate=2.0/s  ETA=14896s
  [52500/82273]  elapsed=25833s  rate=2.0/s  ETA=14650s
  [53000/82273]  elapsed=26079s  rate=2.0/s  ETA=14404s
  [53500/82273]  elapsed=26325s  rate=2.0/s  ETA=14158s
  [54000/82273]  elapsed=26571s  rate=2.0/s  ETA=13912s
  [54500/82273]  elapsed=26817s  rate=2.0/s  ETA=13666s
  [55000/82273]  elapsed=27063s  rate=2.0/s  ETA=13420s
  [55500/82273]  elapsed=27309s  rate=2.0/s  ETA=13174s
  [56000/82273]  elapsed=27555s  rate=2.0/s  ETA=12928s
  [56500/82273]  elapsed=27801s  rate=2.0/s  ETA=12681s
  [57000/82273]  elapsed=28046s  rate=2.0/s  ETA=12435s
  [57500/82273]  elapsed=28292s  rate=2.0/s  ETA=12189s
  [58000/82273]  elapsed=28538s  rate=2.0/s  ETA=11943s
  [58500/82273]  elapsed=28784s  rate=2.0/s  ETA=11697s
  [59000/82273]  elapsed=29030s  rate=2.0/s  ETA=11451s
  [59500/82273]  elapsed=29276s  rate=2.0/s  ETA=11205s
  [60000/82273]  elapsed=29522s  rate=2.0/s  ETA=10959s
  [60500/82273]  elapsed=29768s  rate=2.0/s  ETA=10713s
  [61000/82273]  elapsed=30014s  rate=2.0/s  ETA=10467s
  [61500/82273]  elapsed=30260s  rate=2.0/s  ETA=10221s
  [62000/82273]  elapsed=30506s  rate=2.0/s  ETA=9975s
  [62500/82273]  elapsed=30752s  rate=2.0/s  ETA=9729s
  [63000/82273]  elapsed=30998s  rate=2.0/s  ETA=9483s
  [63500/82273]  elapsed=31244s  rate=2.0/s  ETA=9237s
  [64000/82273]  elapsed=31490s  rate=2.0/s  ETA=8991s
  [64500/82273]  elapsed=31735s  rate=2.0/s  ETA=8745s
  [65000/82273]  elapsed=31981s  rate=2.0/s  ETA=8499s
  [65500/82273]  elapsed=32227s  rate=2.0/s  ETA=8253s
  [66000/82273]  elapsed=32473s  rate=2.0/s  ETA=8007s
  [66500/82273]  elapsed=32719s  rate=2.0/s  ETA=7761s
  [67000/82273]  elapsed=32965s  rate=2.0/s  ETA=7515s
