Using dt = 10 seconds, T = 0.25 years
Initializing waveform generator...
Creating GenerateEMRIWaveform class...
Done initializing waveform generator.
Creating GravWaveAnalysis class...
Initializing loglike class...
Done initializing loglike class.
Calculating SNR...
SNR calculated: 5.942134448355127
Setting up log_density and prior functions...
Done setting up log-likelihood and prior.
Setting up ParisMC sampler...
Done setting up ParisMC sampler.
Setting up initial covariance matrix...
Done setting up initial covariance matrix.
Initializing sampler...
Done initializing sampler.
Loading external LHS samples from pkl...
Loaded 500000 LHS samples.
Running sampling...
[Anneal] n_proc=1 at iter 3847. Setting S=10. Baseline max_ld=2.92401
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 76847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 77847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 78847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 79847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 80847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 81847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 82847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 83847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 84847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 85847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 86847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 87847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 88847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 89847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 90847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 91847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 92847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 93847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 94847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 95847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 96847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 97847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 98847
[Anneal] S=10 fixed. max_ld: 58.76348 -> 58.76348 at iter 99847
Done running sampling.
Job completed at Tue Mar 24 09:24:57 AM +08 2026
