dt=10s, T=1.0yr
Initializing waveform generators...
Initializing loglike_timeonly...
SNR: 14.0813
Loading precomputed LHS from /nfs/home/svu/e1498138/localgit/FEWNEW/work/search/precomputed_lhs_paris3_1yr_1e+05.pkl...
Best LHS seed: [6.01448138 1.00559399 0.73052065 8.82542789 0.39503829]  logden=2.6745
cov_prop = 0.01 * cov_prior (diag: [0.00092971 0.00052197 0.00191881 0.01102793 0.00039019])
Evaluating starting point with timeonly loglike...
Starting logden (timeonly): 3.9411

Running greedy hill-climb for 10000 iterations...
  iter=  4300  max_logden=8.545481  accepts=13  p_max=[6.01286312 1.00392273 0.72779145 8.84080661 0.39620947]  elapsed=2983s
  iter=  4400  max_logden=8.545481  accepts=13  p_max=[6.01286312 1.00392273 0.72779145 8.84080661 0.39620947]  elapsed=3052s
  iter=  4500  max_logden=8.545481  accepts=13  p_max=[6.01286312 1.00392273 0.72779145 8.84080661 0.39620947]  elapsed=3121s
  iter=  4600  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3191s
  iter=  4700  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3260s
  iter=  4800  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3329s
  iter=  4900  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3399s
  iter=  5000  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3468s
  iter=  5100  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3537s
  iter=  5200  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3607s
  iter=  5300  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3676s
  iter=  5400  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3745s
  iter=  5500  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3815s
  iter=  5600  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3884s
  iter=  5700  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=3953s
  iter=  5800  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=4023s
  iter=  5900  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=4092s
