Using dt = 10 seconds, T = 0.25 years
Initializing waveform generator...
Creating GenerateEMRIWaveform class...
Done initializing waveform generator.
Creating GravWaveAnalysis class...
Initializing loglike class...
Done initializing loglike class.
Calculating SNR...
SNR calculated: 5.942134448355127
Setting up log_density and prior functions...
Done setting up log-likelihood and prior.
Setting up ParisMC sampler...
Done setting up ParisMC sampler.
Setting up initial covariance matrix...
Done setting up initial covariance matrix.
Initializing sampler...
Done initializing sampler.
Loading external LHS samples from pkl...
Loaded 500000 LHS samples.
Running sampling...
[Anneal] n_proc=1 at iter 4060. Setting S=2, alpha=1000. Baseline max_ld=2.78171
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=58/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=59/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=60/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=61/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=62/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=63/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=64/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=65/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=66/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=67/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=68/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=69/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=70/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=71/5)
[Anneal] max_ld not improved (58.99524 -> 58.99524). Staying S=10 (stuck=72/5)
[Anneal] max_ld not improved (58.99524 -> 59.01081). Staying S=10 (stuck=73/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=74/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=75/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=76/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=77/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=78/5)
